animalid,birthdate,animaltype,color,weight,location
327eac35e9a472,06/13/2015,Dog,White/Black,29.0,San Antonio
0f99a0ee177817,03/21/2018,Dog,Black/White,20.0,San Antonio
86287c01c548c1,01/09/2015,Dog,Brown Brindle/White,46.0,Fort Worth
6f9beae132975d,09/26/2017,Dog,White/Black,12.0,Houston
dfb54645885fbf,01/02/2018,Dog,Tricolor,35.0,Fort Worth
233476414bc28a,07/30/2020,Cat,Orange Tabby/White,2.0,Dallas
2bc0517f634174,09/10/2019,Cat,Blue Tabby,9.0,Austin
c111cb4e110b9a,09/30/2013,Cat,Blue/White,3.0,Houston
23a74a092169fc,08/03/2017,Dog,Tan,35.0,Dallas
cb2520c3006171,03/25/2015,Dog,Tan,49.0,Austin
643fd8ebe533b9,12/28/2012,Dog,Black/White,27.0,Austin
5cf43f19b4cac5,05/14/2008,Cat,Calico,3.0,Houston
55a28ff6e1c953,11/16/2015,Dog,Blue Tick/Tan,9.0,Austin
0c4cda0dfb412e,05/18/2019,Dog,Black Brindle/White,3.0,Austin
a77de7785d59a1,05/15/2015,Cat,Brown Tabby/White,4.0,Houston
e110555a7bafeb,11/07/2018,Dog,Brown,11.0,Fort Worth
0aa1dc057ae84e,10/17/2015,Dog,Sable,35.0,Houston
c597db5a26950b,08/04/2015,Cat,Orange Tabby,6.0,Houston
c1ca0f10c33cca,07/07/2014,Cat,Blue/White,4.0,Houston
6d92a53efd2127,05/08/2019,Cat,Black,8.0,Houston
20bd37ca7555bb,04/14/2009,Dog,White/Black,43.0,Austin
dbcdea2853f8d2,06/25/2013,Dog,Gray/Black,38.0,San Antonio
2a64d6d8ca7686,05/07/2017,Cat,Black,6.0,Houston
c4d21582cbe02a,05/20/2014,Cat,Lynx Point,7.0,Dallas
4306441d73518e,08/06/2018,Dog,Tan,40.0,Houston
3fbc81a32ea845,03/04/2016,Dog,Brown Brindle,26.0,San Antonio
ee4e854a607d44,10/17/2013,Dog,Chocolate/Brown,40.0,Dallas
5bcbd3ed016b6a,05/06/2018,Cat,Brown Tabby/White,5.0,Austin
ec2e8c13173017,08/15/2015,Cat,Orange Tabby,2.0,Dallas
82f6e848080cf4,05/17/2018,Cat,Blue/White,7.0,Houston
54382bb0eada2e,04/12/2020,Cat,Brown Tabby,8.0,Houston
a1270ced79e9d0,11/02/2016,Dog,Blue/White,26.0,Houston
ec1029c5a9bc56,07/28/2015,Cat,Blue Tabby/White,10.0,Fort Worth
fccb44a1348d8a,06/01/2019,Cat,Brown Tabby,8.0,Fort Worth
c2566b60eac9a0,03/19/2002,Dog,Tricolor,45.0,Austin
10eb09ca2170db,02/10/2018,Cat,Black/Black,8.0,Austin
82ceab6f417316,09/27/2018,Dog,Tan/Black,37.0,San Antonio
fca67980c8e009,03/25/2007,Cat,Black/White,6.0,Austin
a095cc68c2b9e4,10/02/2017,Dog,Brown Brindle/White,7.0,Austin
6247b0427e7fa0,05/13/2015,Dog,White,38.0,Houston
b7a395b3bfda96,08/13/2013,Cat,Black,3.0,Austin
226d46bad098b3,08/20/2016,Dog,Blue/White,3.0,Fort Worth
a8c064b7b7a98f,07/28/2005,Dog,Red,25.0,Austin
b2f8f020385d09,06/22/2018,Cat,Brown Tabby/White,9.0,Austin
6622259c9276cb,04/20/2018,Cat,Tortie Point,4.0,San Antonio
4aea806e2d4fa7,07/08/2005,Cat,Tortie,5.0,Austin
2eb5f54922dda3,04/03/2012,Dog,Black,42.0,Austin
3bee4a81d4b1e6,02/21/2016,Dog,Tan,13.0,Austin
cb6c969f5bb95f,07/16/2007,Dog,Brown,34.0,Dallas
5fb005154af1b7,03/28/2019,Cat,Black,4.0,Austin
7f00aa4a214b01,09/01/2015,Dog,Blue/Tan,24.0,Austin
ed28742d4824db,10/11/2011,Dog,Tan/White,48.0,Dallas
3591a473681f8e,09/05/2009,Dog,Tan/White,10.0,Houston
afeea018a8e459,06/25/2018,Cat,Calico,2.0,Austin
39782185637de1,06/15/2013,Dog,White,34.0,San Antonio
df3086464c0581,09/14/2014,Dog,Yellow/White,8.0,Austin
c1956c3af62201,05/10/2012,Dog,Black/Tan,40.0,Austin
f034745019f30c,08/21/2016,Dog,Brown,22.0,Dallas
352eacc2a2890c,08/18/2018,Dog,White,15.0,Houston
83f7847d3f95ef,07/28/2015,Dog,Brown/White,34.0,San Antonio
42cab9eed1954e,09/04/2019,Cat,Torbie,5.0,Austin
97232f9d3f82a6,07/30/2014,Dog,Tan/Black,27.0,San Antonio
5238ee000f25e5,12/30/2017,Dog,Brown Brindle/White,46.0,San Antonio
622e3e90fd09fd,06/22/2010,Dog,White/Black,16.0,Houston
ebc309f0a59c1c,09/15/2012,Dog,Black/Tricolor,35.0,Austin
b00c4c588b66c7,06/08/2014,Cat,Brown Tabby/White,9.0,Dallas
6f4eb3d424d0bd,11/20/2012,Dog,Black/Tan,10.0,San Antonio
6151f54be9e1ab,02/09/2016,Cat,Blue Tabby,6.0,Fort Worth
fd9e477aadafec,08/11/2018,Dog,Brown Brindle/White,3.0,Austin
0b91b14ab50cca,04/19/2019,Cat,Black/White,8.0,Houston
75ef77795d810e,03/29/2020,Dog,Brown,31.0,Fort Worth
fba686c2d99752,02/04/2007,Dog,White/Red,32.0,San Antonio
4b189fa94ddba8,10/04/2012,Dog,Red/White,14.0,Houston
de8cb15930b221,01/20/2013,Dog,White,31.0,Dallas
ba3f08c9bdb278,11/25/2013,Cat,Brown Tabby/White,9.0,San Antonio
cac8e9f8363b7f,09/10/2009,Dog,White/White,29.0,Austin
9dc8df30d8aecf,05/16/2012,Cat,Blue/White,5.0,Austin
1482f16637b149,06/21/2014,Dog,Tricolor,12.0,Dallas
9b1045b6fe0270,10/28/2018,Cat,Black/White,3.0,San Antonio
bb4c63515bee6a,02/15/2015,Cat,Brown Tabby,9.0,Austin
52a87599d1e317,08/08/2015,Cat,Tortie,2.0,Dallas
13b5ecfef62ca9,03/13/2016,Cat,Black,6.0,Houston
2041c8ededc5d5,05/10/2018,Cat,Calico,8.0,Dallas
7bcce869c74f35,02/26/2017,Dog,Brown/White,11.0,Dallas
6324d08768c3d4,09/24/2014,Dog,Black/Tan,22.0,Austin
f61ab535afc48d,02/27/2016,Dog,Black Brindle/White,47.0,San Antonio
ace8f9286eb665,07/06/2014,Dog,Black/White,16.0,Austin
a1c8c1def007ac,03/28/2017,Dog,White/White,4.0,Fort Worth
24f5e2e2785f60,05/18/2019,Cat,Torbie,10.0,San Antonio
caa085faae9555,04/21/2016,Cat,Tortie,10.0,San Antonio
d1626d48231a4b,06/04/2010,Dog,White,24.0,Houston
0cf1c2a6c81667,08/07/2012,Dog,Brown/Black,42.0,Fort Worth
c6180d473c6838,01/26/2013,Dog,Cream/Black,27.0,Dallas
da0888ce1b8f28,11/03/2017,Dog,Black/White,28.0,Houston
8518a8e0332646,02/14/2018,Cat,Brown Tabby/White,8.0,Dallas
575f55744552f9,09/23/2017,Dog,Brown/White,26.0,Austin
5ca7aefc8457d8,11/23/2018,Dog,White/Black,11.0,San Antonio
27c67087ac1181,11/08/2012,Cat,Brown Tabby,7.0,Houston
e868b625fc4657,04/29/2014,Dog,Black/White,22.0,San Antonio
60041dcf058b08,02/17/2013,Dog,Black/White,26.0,Houston
6756a596416d9f,12/20/2019,Dog,Tan,30.0,Houston
cb8f0d8618b1ba,09/03/2012,Dog,Red Merle/White,12.0,Austin
0c922791c4fb7e,03/11/2016,Dog,White/Brown Brindle,33.0,San Antonio
d24d4ea2d5c993,08/08/2013,Dog,Fawn,29.0,San Antonio
04d43f032aa914,05/21/2015,Cat,Black/White,2.0,Austin
4016171fda7251,11/27/2018,Dog,White/Brown,11.0,Fort Worth
0a872ecba11f78,06/17/2019,Cat,Blue/White,2.0,Houston
698d83b4af78ff,03/29/2017,Cat,Blue Tabby,5.0,Dallas
ec47072b580efd,10/08/2020,Cat,Tortie,9.0,Austin
ef24d983c864fb,06/24/2011,Dog,Blue/White,26.0,San Antonio
418d283a74fd34,03/08/2015,Dog,Cream,30.0,Houston
49822c4fb130c9,03/18/2014,Cat,Brown Tabby/White,10.0,Dallas
48e37b1b75d8b1,04/20/2013,Dog,Tricolor,42.0,Austin
8f52df35bde116,08/03/2018,Dog,Brown/White,35.0,San Antonio
dad2dc61036a0c,01/11/2015,Dog,Tricolor,42.0,Fort Worth
ac7813229aa568,04/04/2013,Dog,White,46.0,Austin
a38dc3c7e31eb2,10/02/2016,Cat,Calico,3.0,Fort Worth
6ec7038fa12fa4,07/09/2019,Cat,Blue Tabby,3.0,Fort Worth
995c1601f84821,11/24/2015,Cat,Calico,3.0,Fort Worth
958d6458bb21f2,10/17/2005,Dog,Tan/White,19.0,Austin
49eec24c48a307,01/19/2003,Cat,Seal Point,10.0,Fort Worth
0fbfc78fb47cc9,05/07/2015,Cat,Calico,5.0,Houston
9f05c6ae909a99,04/09/2014,Cat,Black/White,10.0,Austin
77ad47c22ec3f5,10/18/2016,Cat,Calico,9.0,San Antonio
86b8de46c37b71,02/22/2017,Cat,Brown Tabby,8.0,San Antonio
dde473c7d1daee,05/09/2017,Dog,Red,19.0,Dallas
87c2b5e99daad9,07/23/2015,Dog,Red,28.0,Austin
da2de08c2c47b9,03/28/2018,Cat,Gray Tabby,3.0,Houston
77d99fc31d947a,09/13/2011,Dog,Cream,45.0,San Antonio
d473ca85362376,06/18/2017,Cat,Blue Tabby,8.0,Dallas
765e4d08c12c61,05/10/2005,Dog,Brown,13.0,Austin
892ea73434a549,01/18/2010,Dog,White,13.0,Dallas
98267319f616b6,10/22/2010,Cat,Black/White,10.0,San Antonio
d293078c6bacad,04/08/2011,Dog,Black/Tan,10.0,Dallas
904bcd3c9f4238,05/06/2015,Cat,Black,2.0,Houston
ddb578b112fde3,05/09/2013,Dog,Black/White,10.0,Fort Worth
4fc82b14650c8a,03/05/2007,Dog,White/Black,40.0,Houston
fd63860ba4c6cb,03/07/2016,Dog,Blue Tick,37.0,Dallas
c8f770677dc2cc,08/16/2015,Dog,White/Tan,38.0,San Antonio
0e8643f92f6f78,04/25/2019,Cat,Brown Tabby/White,10.0,Houston
26a004b3c3f806,11/06/2019,Dog,Black/Brown,42.0,Houston
f099e3540dfb12,07/31/2011,Dog,Brown Brindle/White,22.0,Dallas
a845b578a08bd1,12/25/2001,Dog,Black/Tan,18.0,Houston
9abc836ec600a3,01/29/2015,Dog,Blue Merle,41.0,Houston
c6c43ca7c21684,12/20/2017,Dog,Red,36.0,Austin
c00afbbaa5314a,02/16/2019,Dog,White/White,20.0,San Antonio
197be99836bf64,07/25/2014,Dog,Brown Brindle,44.0,Dallas
e1022eddb5d4bc,06/03/2019,Cat,Brown Tabby,6.0,Austin
27648cdc047621,08/23/2013,Dog,Brown Brindle/Black,47.0,Houston
aa651f8d2c4a3a,04/23/2014,Dog,Brown Brindle,26.0,Austin
7fe78a74ad2b4d,04/21/2019,Dog,White,17.0,Dallas
a8bbd7aeb8b2fb,04/07/2014,Cat,Calico,2.0,Houston
a0b68a21e84989,05/01/2012,Cat,Black,8.0,Houston
741aca57c42eb6,03/04/2016,Dog,Brown/White,30.0,Fort Worth
4cbee669c377e3,10/14/2010,Dog,Tricolor,34.0,Houston
49345efb6b87f9,04/08/2014,Dog,Black/Brown,45.0,San Antonio
9e18820848973a,05/05/2018,Dog,Sable/White,16.0,San Antonio
0ba4044ba108c3,07/23/2015,Cat,Black,4.0,Austin
8c30a1778aeec7,06/29/2017,Cat,Brown Tabby,4.0,Austin
eeb87b8daa8bfd,11/02/2014,Cat,Orange Tabby/White,9.0,Dallas
909ffc7477fdc7,02/28/2013,Cat,Brown Tabby/White,2.0,Austin
034a2fc2a9d27e,04/23/2017,Dog,Black/White,32.0,Austin
0b28d54c2954f5,01/22/2017,Dog,Black/White,31.0,Houston
1afc45c5b493aa,03/17/2019,Cat,Black,10.0,Houston
749aeba0b72d8b,07/20/2016,Cat,Black,7.0,San Antonio
e3559908eb2be3,02/28/2015,Dog,Brown/White,26.0,Houston
2.9827196712E+104,03/20/2018,Cat,Black/White,3.0,Dallas
5f5e9719629c10,06/04/2020,Cat,Black,4.0,San Antonio
80dc126500355a,06/07/2010,Dog,White,26.0,Austin
284278d205a49d,04/26/2016,Cat,Brown Tabby/White,7.0,San Antonio
52b4b6e2e53269,02/04/2009,Dog,White/Brown,10.0,Dallas
3f77f2b7913a92,05/18/2016,Cat,Orange Tabby,10.0,Austin
b21bb982df686a,06/16/2015,Cat,Orange Tabby,7.0,Houston
ae918e7bb7863e,06/20/2017,Dog,Black/White,13.0,Fort Worth
fa5694c163f078,06/21/2017,Dog,Black,4.0,Houston
98e4f10e819f79,08/05/2018,Dog,Blue/White,10.0,Dallas
7cf69e16e0fbb1,06/10/2014,Dog,Brown/White,43.0,San Antonio
55fc5733a192ac,12/19/2011,Cat,Black,7.0,Dallas
51741cab3f82a9,06/04/2015,Cat,Orange Tabby,7.0,Fort Worth
f13d221f3e966f,11/02/2018,Dog,Tan/White,40.0,Houston
a9016c16dec32d,10/21/2000,Dog,Tan/White,44.0,Houston
9b11155fa2cd4a,12/27/2013,Dog,Fawn/White,11.0,San Antonio
9d22151b4b4d0d,01/16/2013,Dog,Brown Brindle/White,46.0,Fort Worth
a229c984466cdc,04/10/2015,Cat,Black,7.0,San Antonio
90053b404dfbb8,11/28/2013,Dog,Tricolor,13.0,Austin
dbeda45a5f1d17,08/21/2011,Dog,Brown Brindle/White,43.0,Austin
13ba5268ee187f,09/26/2013,Cat,Brown Tabby/White,6.0,Austin
db777775655fcb,10/08/2013,Cat,Black,4.0,Austin
1af05f936b840f,05/02/2020,Dog,Brown/Black,29.0,Austin
3e9032e5181d9d,03/07/2014,Cat,Calico,10.0,Houston
f810a9699be960,05/24/2019,Cat,Brown Tabby/White,10.0,Austin
8d85d2218f2b39,07/10/2015,Cat,Brown Tabby/White,5.0,Austin
aa39de7759257c,10/04/2017,Dog,Black/Tan,18.0,Houston
9d47f2e35b3518,03/07/2017,Cat,Blue Tabby,2.0,Austin
7cdef9c9f4300d,11/13/2014,Dog,Blue Tick,12.0,Austin
47e36c3e6fa92d,06/01/2012,Cat,White/Brown Tabby,6.0,Austin
87095ad5020829,10/11/2015,Dog,White/Tan,14.0,Austin
9c44e2aae4595d,08/25/2015,Cat,Black/Orange,2.0,Houston
85bfeeacd9ecaf,02/16/2018,Dog,White,19.0,Austin
9950d0759cb008,08/06/2015,Cat,Tortie,8.0,San Antonio
207b0fec20898e,06/09/2014,Cat,Calico,5.0,Dallas
c54802470fbd57,07/22/2014,Dog,Brown Brindle,3.0,Fort Worth
6c7c6d5f77f560,12/02/1998,Dog,White,4.0,Houston
f6d169e33d184a,02/19/2009,Cat,Cream Tabby,6.0,San Antonio
436467eb650cb5,06/22/2019,Cat,Brown Tabby/White,3.0,Austin
c09f22cbf0dd41,02/05/2006,Dog,Tan,37.0,Fort Worth
efb582329b21c0,11/29/2013,Dog,White/Tan,10.0,Austin
cd18d97de73922,08/06/2011,Dog,Brown Brindle,15.0,Dallas
bb3483a9e9a16a,12/27/2006,Dog,Black/White,42.0,San Antonio
3386dc4f8fd416,04/04/2018,Dog,Chocolate/White,21.0,San Antonio
e183a083851fb9,08/06/2017,Dog,Black/Tricolor,28.0,Dallas
3d81b0947acd46,04/22/2016,Cat,Calico,7.0,San Antonio
566458e0038c5f,01/18/2014,Dog,Black/Silver,34.0,San Antonio
3cc2edc22a540a,06/14/2015,Dog,Fawn/White,20.0,Houston
8551d5ab0492cb,01/08/2011,Dog,Tan/White,46.0,Fort Worth
f430e5e633cd68,02/24/2011,Cat,Cream,5.0,Austin
7615c5b997f930,11/24/2001,Cat,Tortie,8.0,San Antonio
a3359cc3e7533a,01/28/2013,Dog,Chocolate/White,15.0,San Antonio
e7bd37d07696b4,12/28/2015,Dog,Tan,49.0,San Antonio
e2ba0b28a9d9cf,02/10/2015,Dog,Black,15.0,Fort Worth
df3db53ac8e1c6,11/20/2014,Dog,Black,29.0,Dallas
b5cbe15642fe1a,06/19/2019,Cat,Black,5.0,San Antonio
36e6f56bd74753,12/18/2015,Dog,Sable/White,6.0,Dallas
1e815b8dcd3ca2,04/09/2002,Cat,Orange Tabby,3.0,Houston
7ff7cd659801b3,04/03/2016,Cat,Tortie/Blue,10.0,Dallas
68070e06589594,01/31/2017,Cat,Blue Cream,3.0,Houston
e0c3c7b7e548ae,04/06/2016,Cat,Orange Tabby,2.0,San Antonio
2a1c6f9e6326a2,10/09/2012,Dog,Tan/White,16.0,Fort Worth
1667580200b70d,12/05/2014,Dog,Black/Brown,16.0,Austin
acf50b56e345b2,03/22/2019,Cat,Black/White,3.0,Houston
06dea6c94094ac,04/05/2017,Cat,Brown Tabby/White,4.0,Houston
a1b10674a64e53,02/19/2011,Cat,Brown Tabby,7.0,Fort Worth
d782233b82a120,01/01/2013,Cat,Torbie,5.0,Dallas
073a3ac8aa4af2,01/29/2013,Dog,Brown Brindle/White,33.0,Austin
24c447c3d6cec4,03/26/2014,Cat,Blue Tabby,7.0,Austin
96c396f212b970,05/24/2019,Dog,Tan,27.0,Fort Worth
57a2403719df5a,06/16/2014,Cat,Blue Tabby,9.0,Dallas
cc4ddb4c845988,04/17/2019,Cat,Brown Tabby,7.0,Dallas
79c664621c93f2,09/07/2010,Cat,Black,3.0,Houston
d907927b2ebea7,09/21/2004,Dog,Black,43.0,Austin
bea1b98bec95f5,05/26/2016,Dog,White/Black,44.0,Houston
74743d5926d6e0,04/25/2018,Dog,Tan,32.0,Dallas
b8d5243dcd690c,11/25/2017,Dog,Tan/White,48.0,Houston
9467669a5ea742,09/08/2014,Dog,Black,15.0,Austin
cdccbb1941121f,05/13/2019,Cat,Orange Tabby/White,5.0,Houston
7d5347520720f9,10/23/2014,Dog,Tan/White,45.0,Austin
66af80c1bdf35e,05/14/2017,Dog,Brown Brindle/White,40.0,Fort Worth
6fedd25fe42ca3,04/22/2016,Cat,Tortie,6.0,Houston
1e143abefa5a12,01/02/2019,Cat,Orange Tabby,9.0,San Antonio
38d83c845af30d,08/29/2019,Dog,White/Black,39.0,Dallas
f1f8ef8873832e,03/07/2017,Cat,Orange Tabby/White,10.0,Fort Worth
f018bf4fb8a921,09/22/2015,Cat,Orange Tabby,7.0,Dallas
75047e376b369e,01/14/2014,Dog,Black/Tricolor,35.0,Austin
b20e3ebe547b6d,02/01/2017,Dog,White/Tan,18.0,San Antonio
517cf4619d09ab,04/08/2018,Cat,Tortie Point,3.0,Houston
f439edcc4a7b03,04/27/2015,Dog,Tan,19.0,Houston
0dea8ceebefd8e,01/15/2015,Cat,Cream Tabby,8.0,Fort Worth
d867f07a8ce274,11/15/2013,Dog,Brown,4.0,Fort Worth
435985cea77aef,07/02/2019,Dog,Brown Brindle,49.0,Austin
12e2d7a04af880,03/08/2019,Cat,Brown Tabby/White,8.0,Austin
a3459a62801a6f,10/27/2018,Dog,Tan,43.0,Dallas
1b123239ce7a0f,02/01/2007,Dog,Brown/White,17.0,Austin
6fdb91dd356008,12/16/2018,Dog,White/Black,5.0,Dallas
c351fc7ac427ed,05/19/2010,Dog,White/Gray,20.0,Houston
87b0b2f42637b2,08/02/2011,Dog,Blue/White,47.0,Austin
1bcc2854696b68,03/21/2010,Dog,Tan/Silver,27.0,Austin
205f7a15d0bb28,05/03/2017,Cat,White/Black,4.0,Austin
03264b18f201fc,02/08/2013,Dog,Black/Brown,37.0,Austin
754122948881b4,11/13/2019,Dog,Tricolor/White,34.0,Dallas
af479ff7867f44,09/10/2015,Cat,Black,9.0,Dallas
f9345686d9a736,07/31/2018,Dog,White/Black,14.0,Houston
0c3a11ffb79495,05/04/2011,Dog,Cream,24.0,Fort Worth
d26c1fed6b14c5,05/10/2013,Dog,Black/White,45.0,Houston
addae91ce5e637,02/16/2005,Dog,White/Black,33.0,Austin
d013a530df3d92,08/19/2011,Dog,Tan,3.0,Fort Worth
a648073d7136e1,03/19/2010,Cat,Blue Cream,5.0,San Antonio
011c4a310b34bc,02/24/2015,Dog,Brown/Black,12.0,Austin
bc74327f8f7b02,05/18/2016,Dog,Blue/White,18.0,Austin
4f93287c4e1c67,03/29/2017,Dog,Brown,3.0,Austin
7690051ace64bd,08/23/2012,Dog,Blue/White,11.0,Houston
2d7bc18ee68706,06/09/2015,Dog,Chocolate/White,37.0,Houston
9223fe6b596a8c,01/23/2018,Dog,White/Black,43.0,San Antonio
a4e8f7b575f7a0,04/17/2014,Cat,Brown Tabby,10.0,Houston
70a7ac946bda1b,10/03/2013,Dog,Brown Brindle/White,42.0,Dallas
163b9de3d63b42,10/29/2017,Dog,Gray/White,30.0,Houston
8b0dbcd2a7000b,08/14/2010,Dog,Brown/White,29.0,Houston
470d2fa31d62ee,09/20/2013,Cat,Orange Tabby,9.0,Houston
c2627d37b2419e,11/03/2011,Dog,Tan/White,12.0,Austin
731ad9edc9922d,10/25/2013,Dog,Black/White,10.0,Houston
ba2e5910a8611e,04/10/2011,Dog,Chocolate/White,20.0,Fort Worth
d43abfbf64db8f,11/10/2008,Dog,Blue Merle/White,18.0,Austin
d6091b3ca74a4c,07/07/2015,Dog,Brown/White,23.0,Fort Worth
f101adeec519a0,10/22/2011,Cat,Brown Tabby,5.0,San Antonio
543e0eeeb4b810,08/10/2017,Cat,Brown Tabby,10.0,Austin
42af0601d11961,11/04/2013,Dog,White,38.0,San Antonio
c8e505b2bb9ac1,01/26/2018,Dog,Blue/White,13.0,Houston
0c9718ccea13c0,03/05/2016,Dog,Tan/White,29.0,Dallas
0e96865eec992d,06/23/2015,Cat,Orange Tabby,6.0,Houston
8a88dc476d870c,12/12/2008,Dog,Black/White,19.0,San Antonio
25f81014480ca1,04/21/2019,Cat,Black,9.0,Houston
760736e09e6921,04/13/2018,Dog,Brown Brindle/White,10.0,Houston
c17702cab9e87f,10/22/2017,Cat,Black,6.0,Houston
de4fd1ff9d911e,02/15/2012,Dog,Buff,35.0,Houston
d7f9c9d81ed497,10/27/2006,Dog,Black/Tricolor,46.0,Austin
959b49d719d25c,07/07/2019,Dog,Brown/Black,49.0,Houston
037702ba2e3639,05/01/2014,Cat,Brown Tabby,2.0,Fort Worth
e484da7c5d5173,05/02/2020,Dog,Black,14.0,Austin
ac72bd40827b52,03/25/2014,Cat,Brown Tabby/White,7.0,Fort Worth
3f4a09e21b4a97,11/01/2012,Dog,Tricolor,3.0,Houston
4b5868c89a0534,04/19/2015,Cat,Orange Tabby,5.0,San Antonio
e406207930e987,11/14/2010,Dog,Tricolor,42.0,Houston
971182ffe77880,05/08/2017,Cat,Gray/White,2.0,Houston
0a4348b207a7cc,02/27/2013,Cat,Blue,6.0,Houston
727fa8563e09a0,04/07/2014,Cat,Orange Tabby/White,6.0,Houston
b0e933e7fe819f,04/24/2018,Dog,Black/White,20.0,Houston
63dfc5ab3687aa,10/01/2015,Cat,Orange Tabby/White,2.0,Dallas
a70128788db855,06/03/2017,Cat,Brown Tabby/White,5.0,Houston
a6b20f3fc1db7e,02/18/2013,Cat,Tortie,7.0,Austin
72fdd934a2b6e5,10/20/2009,Dog,Tan/Black,27.0,Houston
a0a9eef84cd74d,05/03/2017,Cat,Brown Tabby,6.0,Houston
c00e651aaa1719,08/16/2014,Dog,Brown/White,49.0,Austin
d8bf637698842e,01/19/2013,Dog,Brown/Black,34.0,Austin
3ef661f3cc0867,12/22/2009,Dog,Yellow,20.0,Fort Worth
e1a360fc77f8dc,08/02/2013,Cat,Blue Tabby,3.0,Houston
3cf57359bdd23f,10/22/2014,Dog,Brown,16.0,San Antonio
7ac70a36299a24,08/04/2015,Cat,Torbie,6.0,Austin
80a158a9e85876,09/11/2007,Dog,Black/Tan,39.0,Austin
c4ff46ba5f2aaa,04/19/2013,Dog,Gold,17.0,Austin
7b7ff323124444,06/14/2014,Cat,Blue Tabby,3.0,Houston
d235128dd26122,06/25/2012,Dog,Blue/White,42.0,Houston
c8d74cc98035f1,10/29/2014,Dog,Black/White,33.0,Austin
e5b989397fe37a,07/03/2007,Dog,Black/White,46.0,Austin
e8ca09c4f16a9f,10/31/2010,Dog,Black/White,23.0,Fort Worth
ed07ff0ef660df,03/26/2013,Cat,Black/White,3.0,Houston
a7da3d19345afe,01/30/2015,Dog,Blue/White,45.0,San Antonio
9d5dd56e0cb7ba,05/20/2015,Dog,Tricolor/Brown Brindle,25.0,Dallas
47e84a46618677,08/05/2013,Dog,Black/White,40.0,Fort Worth
5574876b557928,05/13/2019,Cat,Black,9.0,Houston
4609f518a03e6c,05/04/2017,Dog,White/Tan,24.0,San Antonio
889084a2dd6c88,03/20/2018,Dog,Black/Tan,28.0,Austin
9a833476d2035d,01/26/2011,Dog,Tan,41.0,Austin
96a9226eed297e,08/07/2018,Cat,Brown Tabby,6.0,Austin
fbda2ff4b8da30,02/06/2016,Dog,Red/Brown,38.0,San Antonio
b6765d99823e58,12/24/2018,Dog,Tan/White,7.0,Austin
ca3c61564c9e66,02/06/2019,Cat,Orange Tabby/White,7.0,San Antonio
b95bb51d374c15,02/17/2018,Cat,White/Cream Tabby,3.0,Houston
9f4741fe5f266f,06/05/2015,Dog,Black/White,35.0,Austin
c7053823843495,08/24/2019,Cat,Lynx Point,2.0,Houston
f1ac1766b0ac4e,09/02/2013,Dog,Brown,6.0,Austin
683b8e7491da41,03/19/2019,Cat,Black,5.0,Houston
091d11952369fb,01/05/2012,Dog,Black/Tan,5.0,Houston
774d86a8433dd5,09/12/2016,Bird,White,0.87,Houston
d03bf36240672c,03/02/2017,Dog,Tan/White,38.0,Austin
feee518c59745d,02/28/2017,Dog,Tan/White,5.0,Fort Worth
68731759672fa9,05/08/2014,Dog,Red,38.0,Fort Worth
4725c9de3e0972,03/31/2016,Dog,Brown/Tan,20.0,San Antonio
50e104236221b1,04/04/2015,Cat,Torbie,3.0,Houston
542acb2ad4cf9c,04/10/2018,Dog,Blue Tick/Tricolor,5.0,Austin
4d09114f88ca0d,07/17/2014,Dog,Sable,19.0,Houston
0bad7c917269fa,11/09/2014,Cat,Black,9.0,San Antonio
b20e0fc3d72ab3,12/23/2018,Dog,White,4.0,Austin
e895312512e528,07/06/2016,Dog,White/Black,46.0,Austin
dddbe862b03a01,02/23/2018,Cat,Black,8.0,Houston
463ef970c49569,12/01/2015,Cat,Black/White,5.0,Houston
169102ab5f13ac,05/06/2020,Cat,Orange Tabby/White,10.0,Dallas
ba5050120e0dd8,12/14/2009,Dog,Brown/Black,18.0,Fort Worth
0746ee4d1258e5,08/07/2017,Cat,Black,5.0,Austin
6fce944f356e16,04/22/2014,Dog,White,20.0,Austin
896765eb247058,01/13/2015,Dog,White/Brown Tabby,7.0,San Antonio
e01d01424ec992,04/20/2014,Cat,Silver Tabby/White,7.0,San Antonio
8345f6f98161f3,04/10/2020,Cat,Tortie,6.0,Fort Worth
8768228d0da640,03/05/2018,Dog,White,39.0,Austin
e2f23d5b4236d9,10/25/2006,Dog,Brown/Tricolor,14.0,Dallas
e9b72c3832c482,11/26/2015,Dog,White,7.0,Houston
e52c812bf971b4,07/17/2014,Dog,Brown/White,27.0,Houston
605b0c0d4f2799,01/15/2017,Cat,Brown Tabby,4.0,Houston
b94332bcc83962,01/19/2016,Dog,Brown Brindle/Brown,27.0,Houston
29a04f475c180e,09/03/2018,Cat,Brown Tabby,10.0,Dallas
9c26d6943873e2,06/11/2006,Dog,Brown/Black,41.0,Fort Worth
4e0dee3ec88942,08/22/2019,Dog,White/Tricolor,24.0,San Antonio
1583e8f19e4d33,05/04/2017,Cat,Gray Tabby/White,10.0,Austin
5007b527e96568,06/30/2014,Dog,Brown/White,9.0,Austin
3dd4da258c65fc,01/30/2020,Dog,Black/White,25.0,Austin
c5a299dc933af5,06/17/2019,Dog,Chocolate/White,38.0,Houston
d5e13edd6d3198,09/02/2016,Cat,Brown Tabby,9.0,San Antonio
