sponsorid,id,Birthdate,Outcome,OutcomeSubtype,AnimalType,Color,Weight,Location
347aeb5e3418,444301352c1595,06/11/2011,Adoption,,Dog,Brown,47.0,Austin
ba9ea9e13be0,461cb0c47ec6c8,03/21/2015,Transfer,Partner,Dog,Blue/White,29.0,Houston
cea7e61fff59,23403f88ad363c,03/18/2014,Adoption,,Dog,Black/White,17.0,Austin
3d76604c2a19,960fc24d3f051b,04/04/2004,Euthanasia,Suffering,Cat,Orange Tabby,10.0,Dallas
4433cec99102,624a55869bbbea,12/29/2015,Euthanasia,Rabies Risk,Dog,Brown/White,40.0,Fort Worth
b8870d593f9e,dd9932bf1cdb88,11/07/2016,Transfer,Partner,Dog,Black,38.0,Houston
e2c9d092cfdd,bfe17e3535e606,05/24/2015,Adoption,Foster,Cat,Tortie/Black Smoke,6.0,Fort Worth
5e65ded204f4,842c41312f9d23,07/28/2016,Return to Owner,,Dog,Brown,37.0,Houston
f6082d34161b,846aa479f19ad6,08/19/2015,Adoption,,Dog,White/Tan,20.0,Dallas
5f5b3107e5a0,cabdf7e1979ea2,02/23/2020,Adoption,Foster,Dog,Brown Merle,4.0,Houston
005dd2c266ac,5a28423089e6f6,06/08/2017,Transfer,Partner,Dog,Red,35.0,Dallas
4afd73e22d9e,6512847cf29531,01/08/2013,Adoption,Offsite,Cat,Brown Tabby/White,4.0,Fort Worth
7cff87d827c9,777ece44c181b5,01/20/2014,Return to Owner,,Cat,Blue/White,10.0,San Antonio
4b6070757f67,cf8b613023946e,10/24/2016,Transfer,Partner,Dog,Chocolate/White,9.0,Austin
dc740a9791c7,413067098b25c0,06/18/2015,Adoption,,Dog,Black/Tan,40.0,Houston
6fab8132fb35,d4d0136116ebe6,10/15/2008,Adoption,,Dog,Black/Tan,29.0,San Antonio
e6964a4ce556,27c054651d7bd7,05/12/2015,Adoption,,Dog,Black,5.0,Dallas
e0e191e5e47a,e91a699aee2df6,04/04/2014,Return to Owner,,Dog,Gray,14.0,Houston
8365bd6bd20f,ea432a548b9ff1,04/28/2019,Adoption,,Cat,Tortie,5.0,San Antonio
3a4d130939f8,0383fc819bc91e,10/23/2020,Adoption,,Dog,White/Black,32.0,Austin
e673b7857816,e3cb49d6c3f919,08/12/2015,Transfer,Partner,Dog,Black/White,35.0,Houston
9e03c2aa1533,0340d8a99b9f61,02/09/2018,Transfer,Partner,Dog,Black,26.0,San Antonio
ae8d255b6857,e1dbf11e170bbc,04/11/2021,Transfer,Partner,Cat,Black Smoke/White,7.0,Austin
fc597e3831b5,8b90b924278621,04/29/2009,Return to Owner,,Dog,Silver,34.0,Austin
c43633e9d331,64273944bf9295,09/05/2014,Transfer,Partner,Cat,Black,7.0,Austin
de7d58233ef2,d74e09d4719809,05/25/2017,Adoption,,Dog,White/Brown,42.0,Austin
6ba6a9c8e9ad,1fdcf5708946b4,10/27/2013,Adoption,Foster,Dog,White/Buff,3.0,Houston
c3fddde59004,66d772e6795862,12/29/2013,Return to Owner,,Dog,Red/Black,7.0,Fort Worth
d6bae440b372,9db5ed3681b6cc,02/11/2020,Transfer,Partner,Dog,Tan/White,37.0,Austin
b6c27a8a4bfc,aca52d2d742180,07/26/2020,Adoption,Foster,Cat,Blue Tabby/White,7.0,San Antonio
465cb7fc1ce0,7c57ee8523436e,03/12/2019,Transfer,Partner,Dog,Black/Tan,8.0,Dallas
7ba8dfcf7fca,9319d9c7461ff3,12/02/2018,Adoption,Foster,Cat,Calico,7.0,San Antonio
c3aeda235540,e3a2d3614eb58b,04/27/2013,Transfer,Partner,Cat,Brown Tabby,4.0,Austin
129a6cfb0526,75b964c7876e68,05/07/2017,Transfer,Snr,Cat,Brown Tabby,10.0,Dallas
91d9ef37b7cf,a179c2e596b632,02/13/2015,Adoption,,Dog,Brown/Cream,21.0,San Antonio
7cbdcf247508,19466a9d8f6aca,06/11/2015,Adoption,,Cat,Brown Tabby,6.0,Dallas
4f0b3968b3e2,dd34baed165280,08/11/2016,Adoption,Foster,Dog,White/Brown Brindle,44.0,Houston
7d57c49bb8e5,5243bd0338f9c1,02/09/2018,Adoption,,Dog,Red/White,46.0,Dallas
32a31a1f2849,edbef7f6426ef3,04/10/2017,Adoption,,Dog,Tan/White,35.0,Fort Worth
c9237450e395,fd2c4d0f19119f,10/19/2015,Transfer,Partner,Cat,Orange Tabby/White,2.0,Fort Worth
d5bb34b92e2e,17050b7476f0f4,10/16/2019,Adoption,,Dog,Brown/Tricolor,5.0,Austin
00ecc0212402,83829ef5eea00e,05/20/2005,Transfer,Partner,Dog,White/Black,40.0,Dallas
b945be9c7615,be569222c53382,09/18/2014,Adoption,,Dog,Black Brindle/White,26.0,Houston
ea496670886b,22141c28f14b16,02/28/2016,Adoption,,Dog,Brown/White,41.0,Dallas
430173cf945f,efbb4ff75d43e3,07/05/2014,Transfer,Partner,Cat,Black/White,9.0,Houston
14f0f7ca8d82,84a9bc75e643f7,06/04/2018,Adoption,,Dog,Tan/Black,17.0,Houston
7a9b07243c65,2723b26bd386ca,07/24/2012,Transfer,Partner,Dog,Black Brindle/White,14.0,Dallas
cc080716f55c,0a60eed0838d1a,12/27/2019,Adoption,,Dog,Black/White,15.0,Austin
6717381a9eb4,841c0fe01bf1d0,01/21/2014,Adoption,,Cat,Brown Tabby,4.0,Houston
69b1b60e7549,923ac6af05adc7,05/05/2019,Transfer,Partner,Dog,Black/White,46.0,Austin
bf32220f932c,757dcea2e34181,04/11/2017,Adoption,,Dog,Tan/Black,44.0,Houston
4579e40f8ca7,0cacc6072d8bee,04/10/2019,Transfer,Partner,Cat,Tortie,2.0,Austin
9fdd6cc86b4b,65daf1b8c34941,11/16/2014,Transfer,Partner,Cat,Calico,4.0,Austin
f33b2f847494,c9515745dc4327,02/18/2011,Euthanasia,Aggressive,Dog,Black/White,19.0,Austin
9f5ad930a9d1,3400e13f2c5648,10/05/2013,Adoption,,Dog,Cream,16.0,Dallas
722fe09e3a04,c21a75ce788595,03/24/2012,Return to Owner,,Dog,Black,15.0,Dallas
160e974d26e3,4e959b14672d13,05/07/2017,Transfer,Snr,Cat,Black,9.0,Fort Worth
4f69a7372943,dd46d461968a62,11/25/2004,Return to Owner,,Dog,Blue Tick/White,25.0,Austin
c85f4b03a94c,7ef671dd68025e,02/18/2015,Adoption,Offsite,Dog,White/Black,30.0,Austin
c772495c53ea,3efa879ad32cce,07/20/2013,Adoption,,Dog,Tan/White,20.0,Houston
eb4acd5be34a,e17d7194b800c8,08/10/2016,Adoption,,Dog,Black/White,17.0,Houston
e1b89790bec6,ab374efe20eaa8,08/25/2018,Return to Owner,,Dog,Tricolor/Brown,41.0,Austin
aba190b881f5,a4829a0fd3a232,07/30/2019,Adoption,,Cat,Tortie,5.0,Houston
07acde81e74a,7f1e2e63085db1,10/25/2017,Return to Owner,,Dog,Blue/White,14.0,Dallas
18106b4496da,f5c4f11cd77254,03/09/2014,Adoption,,Dog,Blue Tick,44.0,Austin
9ee807e57e11,544673e46018ff,12/22/2013,Transfer,Partner,Dog,Black,28.0,Dallas
1821c999e4e5,05652188c704b4,02/26/2014,Transfer,SCRP,Cat,Brown Tabby/White,9.0,Houston
4be9cc461d2f,14b7821d289e64,10/30/2014,Return to Owner,,Dog,White,14.0,Austin
51f2a95a2a64,bd1e536de93cf4,05/31/2016,Adoption,Foster,Cat,Brown Tabby,9.0,Austin
b0bd470aa416,15a64ac5175365,12/26/2014,Return to Owner,,Dog,Tan/Black,18.0,Dallas
8174e054f3f6,c2c3469d1bb176,05/08/2017,Adoption,,Dog,White/Tan,40.0,Dallas
fd75ce944770,5ad558b50a94cd,10/10/2013,Adoption,,Dog,Black/White,47.0,Austin
b2799d21a4c4,2458123b0ed613,09/20/2015,Adoption,,Cat,Black/White,5.0,Dallas
4ca63b7a32de,bc1ad6dff0275e,12/20/2016,Adoption,,Cat,Seal Point,6.0,Austin
fdc79e2bb664,0f36d388f96d26,08/22/2016,Adoption,,Dog,Black/White,44.0,Austin
e2ed8e9b2949,adf2892c84efc9,07/09/2019,Adoption,,Cat,Brown Tabby,5.0,Dallas
c50a5a71663a,138dd95cdd093f,07/05/2018,Return to Owner,,Dog,Blue/White,20.0,Houston
25b0fc4d5fc4,6d346a0738046c,04/27/2013,Euthanasia,Suffering,Cat,Orange Tabby,3.0,Houston
f345c7ffaa72,ae96a41a286df4,01/21/2014,Return to Owner,,Dog,Tan/White,25.0,Dallas
d1306c39ec2b,3b19ae29477000,04/19/2013,Adoption,,Dog,Sable/Black,42.0,San Antonio
fa65997f32a3,717cefa3a4a6f2,12/26/2008,Adoption,,Dog,Chocolate/Tan,13.0,Austin
e86c5016f07d,27c80c0fe6fef2,04/20/2018,Transfer,Partner,Cat,Black,10.0,Austin
239e754f37c4,5003517ab980af,09/29/2009,Return to Owner,,Dog,Red/White,25.0,Austin
4963f14efdd2,b009d4d4d659af,10/01/2013,Transfer,Partner,Cat,Blue,7.0,Fort Worth
9dfa0bee42b3,11ed042bac16a3,03/19/2015,Return to Owner,,Dog,Brown Brindle/White,9.0,Austin
c0ae7c44d1c7,89e2ea4940b3e1,04/10/2009,Adoption,,Cat,Tortie,5.0,Austin
6e5ac543b244,b0f54f587176dd,04/01/2019,Adoption,,Cat,Black/White,7.0,Fort Worth
8ee9f5ba248d,67379e9f93a3ca,10/30/2013,Euthanasia,Suffering,Dog,White/Tan,43.0,San Antonio
8b6b785e68e8,d9b0a65c495480,11/10/2015,Return to Owner,,Cat,Flame Point,6.0,Austin
761bba58ade9,5418ceaa25ca83,10/02/2017,Return to Owner,,Cat,Blue Tabby,9.0,Austin
8b91a9a1997a,608c41aae0830b,07/30/2019,Adoption,,Dog,Black/Brown,20.0,Houston
65402725d1a6,5d9faca7252899,12/29/2017,Transfer,Snr,Cat,Tortie,9.0,Dallas
7c129dc46ada,fecec34ab13b54,04/07/2016,Adoption,,Dog,Brown/White,11.0,Austin
002850213c57,ee9ec60ce9bd20,05/04/2017,Adoption,,Dog,Black/Tan,10.0,San Antonio
cbf7944737f5,06f2350bedd581,08/30/2016,Adoption,Foster,Dog,White/White,3.0,Dallas
a7f6ef04cfdc,32a0b7971a423d,05/05/2006,Return to Owner,,Dog,Black/White,12.0,San Antonio
9ef4db7b3d7e,e13cd437d74c2f,10/06/2015,Adoption,,Dog,Brown Brindle,19.0,Dallas
f34e7f3f6ffd,eb4362dfa650d8,09/06/2012,Transfer,Partner,Dog,Black/Tan,6.0,Houston
4d939c050d26,affb0eb010fa8f,03/15/2013,Adoption,Foster,Cat,Tortie,9.0,Houston
786a0f4059d8,b881c9a434ac3a,12/21/2014,Transfer,Partner,Dog,Brown,17.0,Houston
0b790de975e4,fc0a059078d339,09/08/2005,Transfer,Partner,Cat,Brown Tabby/White,6.0,Dallas
3db330a010c7,c21c686b127bd5,03/12/2006,Euthanasia,Suffering,Dog,Tricolor,9.0,Dallas
98052bd33f20,34d0bb78c9433b,07/21/2013,Transfer,Snr,Cat,Black/White,6.0,Fort Worth
ec9f014bdb78,3355f5e12cafb8,05/24/2019,Adoption,,Cat,Blue/White,5.0,Austin
d230f34cc7d9,bd8fdc5e0f9933,02/20/2016,Adoption,,Dog,White,13.0,Austin
cd83c7c75389,fc611e29d48d89,04/20/2005,Return to Owner,,Dog,White/Tan,28.0,Austin
325d74fac5c0,27b9386f2cd6ad,08/05/2008,Return to Owner,,Cat,Black,9.0,Austin
827334146f7c,125bebcc44dbec,03/24/2015,Transfer,Partner,Dog,White,33.0,Austin
f60a8faeca82,00243f53a67d6f,10/06/2016,Transfer,Partner,Dog,Yellow/White,30.0,Houston
3478af3f90ab,5f891a93392f28,05/23/2017,Transfer,Snr,Cat,Brown Tabby,10.0,Dallas
c6c1d8393bbc,50fb656df71088,06/15/2018,Transfer,Partner,Cat,Black,10.0,Austin
7044cfad5e33,f3d692b0037ca4,05/18/2017,Adoption,,Dog,Black/White,35.0,San Antonio
e62e7cf83431,c041e19c645f43,01/20/2014,Adoption,,Dog,Black,7.0,San Antonio
e7b5be273c58,033372fe2091cc,06/22/2015,Adoption,,Dog,Black,12.0,Austin
dd8b226bc395,a42352223be10b,04/27/2014,Transfer,Partner,Dog,White/Tricolor,36.0,Austin
8746b0633d09,32d4dc3a0f4e03,06/11/2014,Transfer,Partner,Cat,Black,5.0,San Antonio
e1167341b196,15b3d0014fbb39,11/02/2013,Transfer,Partner,Dog,Red/White,45.0,Dallas
7a6b1705cfc0,7444fa299bf75a,12/01/2015,Transfer,Snr,Cat,Black/White,4.0,Houston
84527ea6830f,6c34cefde371bf,08/27/2014,Transfer,Partner,Cat,Calico/Black,7.0,Houston
81eace5278cc,9972351101b7b6,04/01/2019,Transfer,Partner,Cat,Blue/White,9.0,San Antonio
a3c5bcd3467c,8fbb97ce375ba6,03/02/2014,Return to Owner,,Dog,Red,27.0,San Antonio
b12e2367856e,944efa1b5e54a5,02/18/2018,Adoption,,Dog,Brown,23.0,Fort Worth
f90e567c0530,c37f3f2d7f8461,01/11/2019,Transfer,Partner,Cat,Black,2.0,Austin
89656290e329,c38f58b8d58a1e,04/29/2011,Transfer,Partner,Dog,Brown/Black,10.0,Houston
84940db27d39,29ea522ca7007a,04/12/2014,Adoption,,Cat,Black/White,4.0,Dallas
c5cbc7bde679,d9dd616a7a65bd,05/08/2016,Transfer,Partner,Cat,Orange Tabby,9.0,Fort Worth
a3257853dffe,37e7aa750d6ddf,06/23/2016,Transfer,Partner,Cat,Brown Tabby,8.0,Fort Worth
4ceab0766277,0fbec1ddd7c533,09/14/2014,Died,In Kennel,Cat,Calico,2.0,Dallas
a121be76619c,d319b393a6c33d,04/19/2018,Adoption,,Dog,Brown/White,7.0,Fort Worth
b7c554ca510c,d9a41d79b2ee1a,03/31/2014,Adoption,,Dog,White,29.0,Houston
f1d360fd5a6c,8435525ff6859f,12/05/2012,Transfer,SCRP,Cat,Black,3.0,Fort Worth
2b7a558f514f,9b30204d50cb27,04/12/2016,Transfer,Partner,Cat,Black,10.0,Fort Worth
dcee43444e68,285f9c3decd939,08/16/2014,Transfer,Snr,Cat,Black/White,10.0,Houston
a5a0b82027dc,9d8c8174630494,10/09/2008,Euthanasia,Suffering,Cat,Brown Tabby,5.0,Fort Worth
30334ab8366f,fe541eb423090c,05/06/2015,Transfer,Partner,Dog,Gray/White,21.0,Austin
8cefdd111147,ea76b992dd82cb,03/18/2010,Adoption,,Dog,Red/White,7.0,Houston
f3f49d838202,6d0eebdce29e20,05/29/2019,Adoption,Foster,Cat,Brown Tabby,8.0,Fort Worth
ea81e9b127b7,58b87aae549f0e,04/25/2015,Transfer,Partner,Cat,Brown Tabby,7.0,Austin
2829a4a3f20e,04af5b11f807c1,03/30/2010,Adoption,Foster,Dog,Black/Brown,35.0,Fort Worth
6428f3ea20fe,2ced118feae229,06/06/2020,Transfer,Partner,Cat,Blue Tabby/White,9.0,Dallas
5897c9df4df2,7f30b577ce0d78,02/12/2014,Transfer,Partner,Dog,White/Red,11.0,San Antonio
87a5b77de084,2a203e8f35b797,08/20/2017,Adoption,,Dog,White/Black,40.0,San Antonio
6acd06975b59,403bd635b57f3a,01/28/2015,Adoption,,Dog,Sable,9.0,Austin
1eefa2c7ed5c,f535de71e7161d,12/04/2020,Adoption,,Dog,Black,9.0,Fort Worth
5994f6aeeb51,778b6a6d8a5c06,05/20/2015,Adoption,,Cat,Torbie,6.0,Fort Worth
d8eb82e459ea,788e61565738ff,09/06/2013,Adoption,,Cat,Calico,2.0,Austin
60bed9b96f39,e98f7626d9fcfb,03/01/2016,Transfer,Partner,Dog,Sable/White,44.0,Austin
41e3685f1fed,b3aedac1e5def7,11/23/2014,Adoption,,Dog,White/Gray,13.0,San Antonio
7099a730dabe,4a01f8732a371d,08/01/2017,Transfer,Partner,Cat,Orange Tabby,2.0,Fort Worth
fa3372582a9b,63a3dd5b76c57d,11/04/2016,Died,In Surgery,Dog,Tan/White,22.0,San Antonio
772f18f3f680,c3e741ecc035b4,03/28/2016,Transfer,Partner,Dog,White,15.0,Austin
9bb76d43507c,6f6a44af1a59ad,08/25/2017,Adoption,,Dog,Chocolate/White,30.0,Houston
989b86ff449e,7eb4e05868a376,03/24/2017,Adoption,,Cat,Brown Tabby/White,9.0,Houston
f746aa95299a,3645f806209342,11/14/2013,Adoption,,Dog,Black/Brown,36.0,Dallas
2b3cd541114a,9376d1987c0001,08/19/2014,Transfer,Partner,Cat,Brown Tabby,7.0,Dallas
8a8aceb6a3f1,5a498943bf466e,11/27/2014,Adoption,,Dog,Black/White,25.0,Dallas
fe687184f805,f7a767e16663ab,02/13/2017,Adoption,,Dog,Brown Merle,21.0,Houston
7dac7a79bd5b,284b431f0deaf9,03/06/2010,Adoption,,Dog,Blue,10.0,Fort Worth
643f0a0ff9d4,543f2bcdd0566b,07/18/2016,Adoption,Foster,Cat,Orange Tabby,6.0,Houston
193f8cfc4ecf,460ae0124617de,08/27/2012,Return to Owner,,Dog,Black,15.0,Fort Worth
17e20e3a1a87,e5f8dedc88c8ce,07/23/2019,Adoption,Foster,Cat,Black/White,10.0,San Antonio
a9a7340bc3b2,e155bcd0f7d9f8,01/07/2017,Adoption,,Dog,White/Tan,35.0,Dallas
dec5edf17f6c,bcb33d87b60fe3,03/14/2017,Adoption,,Cat,Blue/White,10.0,Houston
78620f731f48,875e1786b3a707,04/01/2018,Adoption,,Cat,White/Brown Tabby,9.0,Houston
f7984bdc6685,47f71c82d6c4f0,03/16/2017,Adoption,Foster,Cat,Orange Tabby,6.0,Austin
89165fa1c7cd,1f23ace21bf827,07/06/2020,Transfer,Partner,Dog,Black/Black,35.0,Austin
a9bcd6da9ab7,a33c6a0be0843c,09/27/2012,Return to Owner,,Dog,Black/White,13.0,Houston
6fbe090fe6cb,8b2811739cc881,03/27/2015,Transfer,Partner,Cat,Brown Tabby,9.0,San Antonio
f12815aaeaed,c83738a1a03e73,09/09/2018,Return to Owner,,Dog,Tan/White,16.0,San Antonio
b9953e727bf3,b8d673e8651926,02/09/2018,Adoption,,Dog,Brown/White,43.0,Austin
290a4dedc8ea,d890c69c6cf946,10/18/2005,Adoption,Foster,Cat,White,5.0,San Antonio
f1873701b1f5,5a6c87c0935332,05/26/2010,Adoption,,Dog,White/Blue,3.0,San Antonio
070c1b42e77c,3f0c166bc901ab,01/14/2012,Adoption,,Dog,Brown/Black,6.0,Austin
8da0db967e3e,e383e98b9644d6,01/25/2017,Adoption,,Cat,Brown Tabby,2.0,San Antonio
8726c2b53d3f,f8c1b1f7918430,06/28/2015,Return to Owner,,Dog,Brown,7.0,Fort Worth
84ebcf4f5773,0d4b21fa750778,02/22/2003,Return to Owner,,Dog,White,36.0,San Antonio
e183e70327f9,169231693d08e8,05/02/2015,Euthanasia,Suffering,Cat,Orange Tabby,3.0,Austin
dcdec633fbe2,a46c32070bf002,05/20/2017,Adoption,,Dog,Chocolate/White,4.0,Dallas
6dfd72f8c660,9c3f2c2ce95377,03/11/2019,Transfer,Partner,Cat,Black/White,4.0,Austin
2f156fdae195,e7d30bc6d8df91,10/18/2011,Transfer,Partner,Dog,Red/Black,21.0,Houston
36200f1b207f,ac4cc9ca8b7e9e,05/10/2018,Transfer,Partner,Cat,Orange Tabby,7.0,San Antonio
5a3f2687679a,def35e8a5b664f,06/13/2014,Transfer,Partner,Cat,Brown Tabby/White,6.0,Houston
24d24d0e2cb4,d96642a03c41f1,03/12/2015,Return to Owner,,Cat,Black,3.0,Fort Worth
c46c12373a7e,7fae99e61d5a08,08/12/2015,Transfer,Partner,Dog,White,43.0,Fort Worth
f6177e533354,9feb6c86b6d53c,11/19/2017,Adoption,Foster,Dog,Tricolor,7.0,Austin
570e373462c6,0394279d60efc5,08/06/2006,Adoption,,Dog,Brown,10.0,Houston
bf24a40fb49f,f3011d05b76620,04/14/2016,Adoption,,Cat,Orange Tabby/White,7.0,Dallas
bb83c0164670,51067ca7613034,05/22/2013,Transfer,SCRP,Cat,Seal Point,10.0,Dallas
fd492ed2bbad,5a4c0df100c3c1,04/27/2015,Euthanasia,Suffering,Bird,Brown/White,0.61,Fort Worth
cc8eb8139f17,812172280224df,01/31/2017,Transfer,Partner,Dog,Tricolor,32.0,Houston
723c8e70d612,352d989d7c8c42,08/15/2012,Transfer,Partner,Dog,Black,43.0,Dallas
09e872dec69d,4750581a31c229,05/04/2012,Transfer,Partner,Dog,Black/White,34.0,San Antonio
861627d7c4dd,94987d840a619f,03/14/2016,Transfer,Snr,Cat,Orange Tabby,4.0,Houston
514a32195be8,cee28ad6017053,02/28/2019,Return to Owner,,Dog,White/Brown,19.0,Austin
5bea731d7691,c69f187156adc7,03/06/2018,Adoption,,Cat,Tortie,3.0,Dallas
3898b2325320,c92cdd34d50942,06/05/2011,Euthanasia,Suffering,Cat,Tortie,8.0,Fort Worth
efed28cee290,594d94717f3e48,03/28/2019,Adoption,,Cat,Black Smoke,9.0,San Antonio
9184eb7f69c1,ce2e1bc77a06fe,06/21/2009,Return to Owner,,Dog,Brown,49.0,Houston
b1319d025e15,45e38261ab7fb3,10/27/2013,Transfer,Partner,Dog,Sable,7.0,Dallas
ab5665c328bd,2cf4861bc55a93,04/30/2017,Adoption,,Dog,Black/White,39.0,Austin
f16754dc3613,51c0a7266042bf,05/23/2014,Adoption,,Dog,Brown/Black,16.0,Houston
583eaa3485c3,316d052f0dcf5a,07/30/2014,Transfer,Partner,Dog,Black/Brown,41.0,Fort Worth
3ab9342a2475,3fee638497bc88,06/21/2017,Adoption,,Dog,Black/Gray,35.0,Dallas
8465f0160a84,b13f63ec138c12,03/19/2013,Adoption,,Dog,Brown,24.0,Fort Worth
7c0d3b02b8e2,9aab1fd8646275,09/10/2018,Adoption,,Dog,Yellow,34.0,Austin
15a4b0d09472,347f6e59f9615d,03/25/2019,Adoption,,Cat,Orange Tabby,9.0,Austin
d6560ff68d8f,52158d3ac03060,04/15/2018,Transfer,Partner,Dog,Black/Brown,8.0,Austin
2b6f5ce5964b,87801c1eb9fd60,03/13/2018,Transfer,Partner,Dog,Tricolor,39.0,Houston
9449e135e7ca,dde0a616daf6d1,04/28/2015,Transfer,Partner,Cat,Cream Tabby,10.0,Houston
570394a4a8d4,3723c26cedfc78,06/11/2013,Transfer,Partner,Dog,Black/Tan,10.0,Fort Worth
dc0b1afc7ebd,200c80d37713b3,01/07/2009,Return to Owner,,Dog,White,5.0,San Antonio
e26f6d1d6fd4,f876754f07c55d,10/15/2015,Return to Owner,,Dog,Black/Brown,46.0,San Antonio
9ac9622730de,c120edd988dfd9,07/28/2018,Transfer,Partner,Dog,Brown/White,34.0,San Antonio
0ff912a03ed0,7c8a350f3933f3,07/23/2017,Transfer,Snr,Cat,Black,6.0,Dallas
099d59c3ecb5,bb4f70137d9a69,04/03/2017,Adoption,,Cat,Brown Tabby/White,9.0,Houston
59688c61f9d5,31f46bf89ee5d3,09/28/2018,Adoption,,Cat,Blue Tabby,10.0,Dallas
8a58355eef37,4d46004cd802c8,05/15/2014,Rto-Adopt,,Dog,Black/Tan,49.0,San Antonio
31991edf61d9,b5c280004ba1a9,03/25/2009,Transfer,Partner,Cat,Chocolate Point,4.0,Austin
e7a653ea3551,4aa2d52c0ff95d,09/02/2011,Transfer,Partner,Dog,White/Buff,39.0,Houston
cc3dd4688363,c819c41fc87746,05/01/2019,Transfer,Partner,Cat,Black/White,10.0,Houston
3e003ab9e5d7,7d545e9491b625,12/17/2013,Adoption,,Cat,Cream Tabby,10.0,Austin
f56da6582f1f,c1a67459beec21,06/22/2017,Adoption,,Dog,Black/Brown,39.0,Fort Worth
bd7d35dd11e7,0e0a00655367ae,08/31/2011,Transfer,Partner,Dog,Brown Brindle/White,17.0,Fort Worth
743362e5b5b3,2b2f4c35f0f225,05/30/2019,Adoption,,Dog,Brown/White,8.0,Houston
eced87aba318,5460592b515a81,01/31/2006,Adoption,,Dog,Black/Tan,40.0,Austin
d5517422525e,6516be160b6e58,06/11/2013,Adoption,,Cat,Brown Tabby,2.0,Houston
5ff4f8992e28,c29e36262d737f,03/13/2019,Transfer,Snr,Cat,Brown Tabby/White,4.0,Dallas
a31d92b1a701,06481076d74d5f,03/14/2013,Return to Owner,,Dog,Brown/White,41.0,Dallas
9dc25f5f91a8,259acd65f25832,10/20/2016,Adoption,,Dog,Blue/White,15.0,Austin
cf31715131b5,f04b01e08c8811,02/14/2013,Return to Owner,,Dog,Black/White,46.0,Austin
98572fa71fca,e2e793a3079ffb,10/09/2014,Return to Owner,,Cat,Black,9.0,San Antonio
203cd1a76318,f78cb0cf8f639a,03/19/2020,Adoption,,Dog,Black/White,24.0,San Antonio
0095c77784e0,57ae687a73e1fb,10/21/2010,Euthanasia,Suffering,Cat,Black/White,9.0,Fort Worth
5a64eff50bce,c7fa2446ec7466,05/16/2018,Transfer,Partner,Cat,Gray Tabby/White,4.0,Fort Worth
b19029e968ba,8fe2698b10cfa0,03/17/2011,Transfer,Partner,Dog,Black/Tan,14.0,Austin
4fad14591316,8768228d0da640,03/23/2013,Adoption,,Dog,Red,23.0,Houston
aab6df25048f,9190133a55f918,03/16/2016,Adoption,,Dog,Black/White,13.0,Fort Worth
4530932e6516,00516cba1e17f2,06/04/2017,Transfer,Partner,Dog,White/Black,16.0,Austin
23c43a25616b,31ab5ef11c3f5d,09/18/2016,Adoption,,Dog,White/Blue,37.0,San Antonio
c57e11c0edde,48210c84397d1f,11/22/2005,Adoption,,Cat,Orange Tabby/White,8.0,Houston
c9acd99fee4a,40f90e5956d4dc,09/03/2014,Transfer,Partner,Cat,Blue Tabby,7.0,Houston
028e89a4ac31,a518f1d7301b91,11/29/2002,Return to Owner,,Dog,Brown,40.0,San Antonio
931b5fd0683c,56c46f6ae2d698,07/19/2015,Transfer,Partner,Cat,Blue Tabby/White,6.0,Austin
6aa4b0197b63,1500e3d4c3bd5c,04/12/2017,Adoption,,Cat,Orange Tabby/White,9.0,Houston
5e1a666fbe04,1f4696fa03f766,12/09/2013,Euthanasia,Suffering,Dog,Tan/Black,4.0,Dallas
2bbee25c4821,f8c5ce79112114,09/11/2019,Adoption,,Cat,Cream/Brown,7.0,San Antonio
54a12086e03b,38eddca7641b1c,03/14/2017,Transfer,Partner,Cat,Black,8.0,Houston
ac38b007a251,1275a387374dac,07/01/2011,Adoption,,Dog,Cream,31.0,Houston
148633495899,da7804dab15181,08/09/2019,Adoption,,Cat,Torbie,4.0,Dallas
d3c7ad006efc,9d9fe9592b417a,09/26/2017,Adoption,,Cat,Black,3.0,Dallas
3490e7ef4355,09f83e9d85d3a6,07/12/2015,Adoption,,Cat,Brown Tabby,9.0,Austin
62959124f8ef,59418319243fd4,08/14/2016,Adoption,,Cat,Brown Tabby,8.0,Austin
6e56b19757b7,88d916969f5ee5,07/23/2015,Adoption,Foster,Cat,Black,4.0,Austin
697aa1374996,af1f8cf3c5d31d,04/12/2019,Adoption,Foster,Cat,Orange Tabby,7.0,Dallas
d6ef2c5d08e6,d57d2975529e61,04/20/2016,Transfer,Partner,Cat,Orange Tabby,9.0,Houston
7a1829678252,ba99e4a9a3b8fe,04/26/2019,Transfer,Partner,Cat,Brown Tabby,7.0,San Antonio
bb6d034b6a80,87c75993081bea,09/22/2014,Transfer,Partner,Cat,Orange Tabby/White,10.0,Houston
52032fdfd667,bbe087f93b8700,12/01/2018,Adoption,,Dog,Blue/White,7.0,Dallas
aa4d1a63dbaf,688b21a103d3b1,07/08/2017,Transfer,Partner,Cat,Black/Black,3.0,Fort Worth
c04322312e89,9ca536dd358303,01/23/2009,Transfer,Partner,Dog,Chocolate,13.0,Houston
353d1869c9e9,70d87098b3ce7e,02/19/2010,Transfer,Partner,Dog,Black/White,24.0,Fort Worth
1bbf7b3bcf0b,530da19ecb67d5,04/17/2019,Died,In Kennel,Cat,Brown Tabby,5.0,Austin
