sponsorid,animaltype,location
959ea566ef0be6,Dog,Austin
00db4139bb78cd,Dog,San Antonio
b1996fd36d5d40,Cat,Dallas
9cc40fae60de01,Dog,Austin
bbb3b6550371ea,Cat,Dallas
0b28d54c2954f5,Dog,Houston
9bd2a84fa25f4b,Dog,Fort Worth
1839233e99788b,Dog,Houston
92b4ec7e8ef32e,Dog,Austin
49345efb6b87f9,Dog,San Antonio
aa64f421ef375c,Dog,Dallas
c1956c3af62201,Dog,Austin
ca7a5f129bf5d1,Dog,Houston
6dd256707a57d8,Cat,San Antonio
752d951e00d8bd,Dog,Austin
0a7a49ae79718b,Cat,Dallas
f254353f232612,Dog,Houston
3cd57488b56158,Cat,San Antonio
d355b32fa10242,Cat,Dallas
697f22adc97676,Dog,San Antonio
2329c0e5309644,Cat,Dallas
613d2b71f0cace,Cat,Austin
0bde5e51d7c1ef,Cat,Fort Worth
be784e42b68d3e,Dog,Houston
8b6d2fd19dccc0,Cat,Houston
e25850a3aae048,Dog,Houston
b41f771453c1c7,Dog,Dallas
bdf2698ed15108,Dog,San Antonio
086a4c65f58654,Dog,Austin
0521789cdafa98,Cat,San Antonio
53affb824fa5ad,Dog,Fort Worth
f62980125a0ad2,Cat,Austin
3ef5fe3f6c4c2b,Cat,Fort Worth
df71bd8e4761e8,Dog,San Antonio
073a3ac8aa4af2,Dog,Austin
ed2e24b719d62d,Dog,Austin
aed6e42fb62ccd,Dog,San Antonio
26d936da49e223,Dog,Austin
5355de25eb384b,Cat,Houston
7b39da9040ae6b,Cat,Austin
c8413b43eb06ef,Dog,Houston
f2d3d822d8cbf4,Dog,San Antonio
b219b21168e5c5,Cat,Dallas
91a8922209a53d,Dog,Dallas
978f95f5e7e883,Dog,Fort Worth
eabef6a5bb1d80,Dog,Dallas
d0e2e53afdb918,Dog,Fort Worth
2b0d09a9687c8b,Cat,Houston
148989ec400336,Dog,Fort Worth
b2fa20f9a2109f,Dog,Dallas
547567a3190c0f,Dog,San Antonio
1d8bf841524b93,Cat,Dallas
12dcb3df8d7e80,Cat,Austin
c51371461e6441,Dog,Fort Worth
b39fee4c398d33,Dog,Dallas
ae6ddb4b331e35,Cat,San Antonio
3ac95b778a6bdc,Dog,Austin
5cc4691badeac1,Dog,San Antonio
9499d19cd4837b,Dog,Austin
341d9f3714f47e,Cat,Fort Worth
2981fccedde875,Dog,Austin
4a5ac01724f996,Dog,Fort Worth
24f3e2d8d0ccf2,Dog,Houston
d2b39756a1881e,Dog,Dallas
b01366d02b7afb,Cat,Austin
3cdc1c237af327,Cat,Austin
372db6f43ac2f1,Cat,Fort Worth
8f59015048a556,Dog,Houston
d3a48c7323db2f,Dog,Dallas
8deeabd0efc972,Cat,Fort Worth
45fe398f0e663f,Dog,San Antonio
57d69e8f67ffe6,Cat,Austin
d7325809793c4a,Dog,Houston
a29fac5dd9820a,Dog,Dallas
e15c6286c77d5e,Dog,Houston
caad96083f92c5,Dog,Dallas
aa3a26758849f3,Dog,Austin
5464abc08d78ff,Dog,San Antonio
c1e46dba9d4a29,Dog,Austin
1b4b739b5be18a,Dog,San Antonio
38b4365dc53f84,Dog,Houston
9a3fc6776641ae,Dog,Austin
5b7cdce3b71722,Cat,Fort Worth
6012d92bbca9f1,Cat,Dallas
e0b67683747b87,Dog,San Antonio
47105fe2df115d,Dog,Houston
aa628bb7875ef1,Dog,Dallas
6514e5867f6749,Dog,Austin
8653989fa20f1a,Cat,Austin
aabf13978548ef,Dog,San Antonio
9c876a41f22284,Dog,Dallas
e381ffce71a9eb,Cat,Houston
e2ab3cbb5b08a5,Cat,Houston
cd1a0f8b372bf3,Dog,San Antonio
7978f20c0551b6,Dog,Austin
5ed34a3aa27097,Cat,Houston
a5ca07d311fee0,Dog,San Antonio
78aadb90e1533e,Dog,Dallas
72cd4f12bcbecd,Dog,Houston
cfaaae7b7f52a9,Cat,San Antonio
a76cbb829b4fa4,Cat,Austin
30a7ea6e47481a,Cat,Fort Worth
222187bae7a46e,Dog,Austin
5b10a0c6c05519,Dog,Houston
53990f0ec18305,Cat,Austin
d1f9c64ea5c1f5,Dog,Houston
332867fbdef9dd,Cat,Austin
3b079d73772ea1,Cat,Houston
c85370e54d8161,Dog,Fort Worth
d5eb9e808893d8,Dog,Dallas
134540055d512a,Cat,Houston
397f808d7bf742,Dog,Austin
d0da3696c3cb5e,Dog,Houston
417f3ffbed47ff,Dog,Austin
4daa385e9858c9,Dog,Houston
711ac5152823bf,Dog,Fort Worth
d365a93767b923,Dog,San Antonio
e1f44c8fe11df6,Cat,Fort Worth
1e815b8dcd3ca2,Cat,Houston
fed18f3a877cca,Dog,Dallas
c482b258bf31ac,Cat,Fort Worth
2aec4672d310d1,Dog,Fort Worth
2d65f506c248c2,Dog,Houston
e9062cc2f0645b,Dog,Houston
6febe396603305,Dog,Houston
710d1352c9503e,Dog,Austin
215899389a726d,Dog,Austin
206d4f35d141e5,Dog,Austin
9407b2edb37658,Cat,Houston
3d5f9a2013a239,Dog,San Antonio
04267c37028f5c,Dog,Austin
814106497873c9,Dog,Houston
62528b8433367b,Cat,Austin
18e41de4118719,Dog,Dallas
2f2814f83ecd10,Dog,Austin
a887b32cdaf23f,Cat,Austin
bc9a65eeea8295,Dog,Austin
61f5149ed182dd,Dog,San Antonio
4c594efb83496c,Cat,Austin
4be1e11e2fc53e,Dog,Fort Worth
2264a6dae180d6,Dog,Houston
bcb201a2855399,Cat,San Antonio
e5ea3e7de3ede7,Cat,Fort Worth
aa305d1d3af8dc,Dog,San Antonio
64cc302b263af8,Dog,Austin
2c1f34c21217d0,Dog,Fort Worth
abb9eece2cef7b,Dog,Houston
364ec7fff6b501,Dog,Houston
a156e70a990b69,Cat,San Antonio
924cf32637c14c,Cat,Fort Worth
3fc7e421344f33,Dog,San Antonio
affd376b17c14a,Dog,San Antonio
f26132825afec8,Dog,Houston
81a58f21167f19,Dog,Austin
6d8f37c4511c1c,Dog,Austin
127a6290b3bc0a,Dog,Houston
1496136deb3141,Dog,Dallas
9b358570a2ef70,Dog,Houston
d386a6c2dd463a,Dog,Houston
47b66c2945f19b,Dog,Dallas
e78e384faef6ca,Dog,Fort Worth
9edcf08a604e4c,Cat,Austin
612efac9388510,Dog,Austin
a9cafb8f6dc633,Cat,Austin
8ecf796085dea5,Cat,Houston
4421200003690b,Cat,Dallas
49ac0f88ea7e8b,Cat,Fort Worth
83dccfe5e9e2c2,Dog,Fort Worth
9c3f1ddd1195ee,Dog,Houston
e1f61d380d3e85,Dog,San Antonio
d2e3de513caf11,Cat,San Antonio
0eadee59a4863f,Cat,Houston
ec1029c5a9bc56,Cat,Fort Worth
ec7f48c733e799,Cat,Austin
48bf3768c5a72f,Dog,Houston
d292cf076a120e,Cat,Houston
60ac05466a0e90,Dog,Houston
61c18ce993327f,Cat,Houston
fb8c945b74cc22,Dog,Dallas
1f1550350b0b59,Dog,San Antonio
48409e83c4bd33,Dog,San Antonio
2184ec7675a16c,Dog,Houston
35075b0ebaf215,Cat,Houston
c4e47ebfb6b491,Cat,San Antonio
50e0000ddf63ed,Dog,San Antonio
859cc47d8dbbff,Dog,Austin
dfde9a326ad63a,Dog,San Antonio
3d8e01fb1fa0ba,Cat,Fort Worth
832d8c59ab63a9,Dog,Austin
3d0fd358cdbaac,Dog,Austin
d384bc555fff92,Dog,Austin
7e9c061ff54b74,Dog,Dallas
55054f63bd696c,Dog,Austin
3704ff2b968beb,Dog,Houston
b9e989c53dda8d,Dog,Dallas
3af17e25af9cd2,Dog,San Antonio
23887997ff00c0,Cat,Austin
3c8844639b0680,Dog,Austin
681744faedc4df,Cat,Houston
746d6762c4a21d,Cat,San Antonio
4e48bbc9e57cea,Cat,San Antonio
9beec1d671fc84,Cat,Austin
78abe8cf489ec1,Cat,Dallas
a1464415e96c09,Dog,Houston
428536d3d0cb9d,Cat,Dallas
1d5e79342fbda5,Dog,Austin
b5c572400063f3,Dog,San Antonio
629dc0ee782e93,Dog,Austin
5d4e0008fbe75e,Dog,San Antonio
ea1bb6ed5ecc05,Dog,Houston
a3e9242f4a6628,Dog,Austin
ac23fe21f7266b,Cat,Fort Worth
4fc82b14650c8a,Dog,Houston
20bff946dbabcc,Dog,Fort Worth
c305c56f23e97f,Dog,Fort Worth
2c1fb1767dd647,Dog,Austin
1402c4d740a198,Cat,Fort Worth
2b1e04cdde0c6c,Dog,Houston
02f8c6c6cf1fb7,Dog,San Antonio
936646e4f719f7,Dog,Houston
d2acd7329b9f23,Cat,San Antonio
29cea86409629c,Dog,Austin
163b9de3d63b42,Dog,Houston
e057c3aeb84458,Dog,Houston
e5af633b0e2e29,Dog,Austin
4d505f9caf6e7b,Dog,San Antonio
ec713c20969294,Cat,Houston
765e4d08c12c61,Dog,Austin
44d855452ac444,Dog,Dallas
36fa41571fec54,Cat,San Antonio
afa0c0bba27aa4,Dog,San Antonio
26f7d556655922,Cat,Austin
825cc30e8afa71,Cat,Austin
8f49649d306fe6,Cat,Houston
af58f2f43e69b1,Cat,Austin
e608dffa72b5b5,Dog,Austin
be19cff7ff9dfc,Dog,Austin
88c63645701890,Cat,Houston
ce98fc726ae0bf,Dog,Austin
2fd0ae79e32afb,Cat,Fort Worth
82cad2353d1676,Cat,Dallas
41d29fc4c70a81,Dog,Houston
70156bc35e9deb,Cat,Fort Worth
5ef0440bd8d662,Dog,San Antonio
18f1124cc9d3b7,Dog,Austin
c982d778bbd2c0,Cat,Austin
5c90ddc22dcc0b,Dog,Houston
377c1f39a0a752,Dog,Dallas
4f1f28176172bb,Cat,Fort Worth
8f4b5e902047e9,Cat,Houston
5f04421403aedb,Cat,Dallas
7893668a9987a8,Dog,Houston
5d9281a4542658,Cat,Fort Worth
b14069999a0ee6,Dog,San Antonio
e5245af1a86ace,Dog,Austin
4cccec228bd957,Cat,Austin
33f9b882bfe082,Dog,Fort Worth
e117d1e524bfa2,Cat,Austin
51dbe54e535ec7,Dog,Fort Worth
52a0cff941ce1f,Dog,Austin
0320288b6a503b,Dog,Dallas
877bc165970727,Cat,Fort Worth
44c3f4bd5e86cc,Dog,Austin
e9ad3b0f4ef77c,Dog,Dallas
c1b1356feae4f4,Cat,Houston
c114153317ae53,Dog,Houston
a9ef0b744b144d,Cat,San Antonio
94dddba6646dc4,Cat,Dallas
b2f37d21fd56a1,Cat,Dallas
37af9355cd5773,Dog,Houston
9468f03664c585,Dog,San Antonio
cba73f2d1060e8,Dog,Houston
1d40414fec35c6,Dog,Dallas
5ad188c9254736,Dog,San Antonio
4ac33dcf949748,Dog,Fort Worth
0853fd0465e5b5,Dog,Dallas
5fb005154af1b7,Cat,Austin
47165acb6ff99b,Dog,San Antonio
bb66e1eb6c2e8b,Dog,Dallas
d4af3cc1f701d1,Dog,San Antonio
e14cca0ce552fa,Cat,Houston
83762d7b808c07,Dog,Houston
cc8d12a53db863,Dog,San Antonio
60041dcf058b08,Dog,Houston
75b6b119fd3953,Dog,San Antonio
294795e42a2550,Cat,Houston
9b72af20a42c93,Dog,Houston
417f6de2b70f4f,Dog,San Antonio
6c7a62350bd113,Dog,Dallas
0d3c0bc28b9039,Dog,San Antonio
fbfad80ebf384a,Dog,San Antonio
098997669e37ee,Cat,Houston
b5c5af6dba4ecd,Dog,Austin
6afd1aadf8cc94,Dog,Austin
559e6fd016ad5d,Cat,Houston
e9d725e5673b3e,Dog,Austin
77fb2f2495aa2e,Cat,Austin
bb48c5bb1f090c,Cat,Fort Worth
89dc2481ee88a6,Cat,San Antonio
823d3f23408ed8,Dog,Austin
7805819fc9242d,Cat,Austin
be01d22b8fbb95,Dog,Fort Worth
d4572ef7aa8406,Cat,Fort Worth
508c393a8cee57,Dog,Dallas
a622f223c73cf5,Cat,San Antonio
28bb2949094b59,Dog,San Antonio
7dc83d5d79dac1,Dog,Austin
6f78a140a95bbd,Dog,San Antonio
d0bdf31709da60,Cat,Fort Worth
fba087a1451fa1,Dog,Dallas
f1d367a096e5cc,Dog,Dallas
dd9bd58b707185,Cat,San Antonio
d781e8a8102eeb,Cat,San Antonio
76660c83c93ef1,Dog,Fort Worth
608847f78c475c,Dog,Austin
1479b1ca4c61c9,Dog,Dallas
63b071a252b51d,Cat,Austin
faf963d76117cf,Dog,Houston
db459351dc51cf,Dog,Austin
d2605c90e9ec3e,Cat,Fort Worth
46a94686e27a61,Cat,San Antonio
4d89f8f4a29dea,Dog,San Antonio
1356f9d97621bd,Dog,Austin
90591745c0a07d,Cat,Dallas
61ed5d1cafe039,Dog,Fort Worth
5a59ad7ddc60d4,Cat,San Antonio
efa95dd0b28a91,Dog,Fort Worth
97bea4f46d225d,Dog,Dallas
0b67f3d4c9a7b6,Dog,Fort Worth
945c33232a8dc6,Dog,Houston
8ffd28e0f6a1e0,Cat,Dallas
c5b14ac11a86ef,Cat,Austin
9908dd9123dc54,Dog,Dallas
4175145b2341e9,Dog,Fort Worth
f5d8a07eb2e36a,Dog,San Antonio
2188ebc314d023,Dog,Austin
4b5868c89a0534,Cat,San Antonio
db5313b4df7ced,Dog,Houston
acb8e2e0c236fd,Dog,San Antonio
c04710464a3ad0,Cat,Houston
ac5f4e5faa32e0,Dog,Austin
9ba0383f6e7d46,Dog,Houston
97582030361602,Cat,Austin
4fca6ef6dbda96,Dog,Houston
ea87ac8cbfad26,Dog,Dallas
89123aba85c2a8,Dog,San Antonio
74228ffdfe76aa,Cat,Houston
f1ee9c7639ce53,Dog,Houston
88c0ad9ff93bdc,Dog,Fort Worth
99236c07a9807c,Dog,Houston
56dfcd63dd4074,Dog,Austin
328591d47bff4c,Cat,Dallas
699b674f68a979,Cat,Dallas
8927e76c1a0a7b,Dog,Dallas
6a0ec8ad3b66fe,Cat,Austin
6ab11871a6007e,Dog,San Antonio
a99c124ccb71f6,Dog,Fort Worth
1926bdfc631ae1,Cat,Houston
fa619bffb3b208,Dog,Fort Worth
897820bb5fd2d6,Dog,Austin
c482fbcfdbecb7,Dog,Fort Worth
624cdc788dbf72,Dog,Austin
e7bd37d07696b4,Dog,San Antonio
88790c8655f844,Dog,Houston
43b5902068574c,Dog,Austin
03443eacd1934b,Dog,Austin
bfb5e45d856530,Dog,Austin
355b0d3ac0cf93,Cat,Fort Worth
747ed40c365305,Dog,Fort Worth
a536a967c7b2d0,Cat,Austin
2e13723333a93c,Dog,Fort Worth
6325420314382c,Cat,Fort Worth
a356f98a150691,Cat,Fort Worth
46f69f600ef9ff,Dog,San Antonio
37895a386af3f6,Cat,Dallas
1e7079fcd4621e,Cat,Houston
0f0489c52e334a,Cat,Houston
926321d6e257fa,Cat,Dallas
6e2f39289640b9,Dog,Houston
cc172aaaed38be,Cat,Houston
6a72286e808ba9,Cat,Dallas
d3d3750bc3b2ed,Cat,Houston
d395042e84c0ee,Dog,Houston
adb62baf9e52e6,Dog,San Antonio
9638b1ef981ff0,Dog,Houston
722e4c03496806,Dog,Dallas
912cc295db9c24,Cat,Dallas
82835973b6d569,Cat,Austin
2f52c5ce13e001,Dog,Austin
f6fae7b2ac1749,Cat,Houston
f439edcc4a7b03,Dog,Houston
dd6547e550bf08,Cat,Austin
0aa6fe0ed3e566,Dog,Dallas
7916c3dd91db2b,Cat,Dallas
bf43975e837c85,Cat,Austin
0b42d2c5881ad2,Dog,Dallas
2e33a74685cb0a,Bird,Austin
f0a2de126f48d6,Cat,Dallas
4913b5e9553d23,Cat,Houston
88fda45ff2028e,Cat,Austin
741aca57c42eb6,Dog,Fort Worth
362d11c2b91fe7,Cat,Houston
d2f3abd81846d9,Cat,Houston
8d8cb14f575a51,Dog,Houston
b9d74c1a7a363e,Cat,San Antonio
81577b7b8682de,Dog,Dallas
5c7e862a26c796,Dog,Houston
caa7ec9630fb58,Dog,Austin
48e37b1b75d8b1,Dog,Austin
b3e49b90f5038f,Cat,Fort Worth
ef4f75f4bfa4f3,Dog,Fort Worth
82fa9abc14e29b,Dog,Fort Worth
9325b0ee9e49e4,Cat,Dallas
5519529c1e1950,Cat,Austin
b48b1c108268ed,Dog,Houston
fa90b8f2040b39,Dog,Austin
64bd900215c381,Cat,Dallas
5b0cee68f6a848,Dog,Fort Worth
4bfe83866e2898,Dog,San Antonio
70b35cfad1ebd9,Cat,Fort Worth
9c2deda84ca502,Cat,Fort Worth
0850433f03c183,Dog,Houston
3ef23def56b6de,Dog,Austin
12629263f19de6,Dog,San Antonio
b9b57fbcb2170b,Cat,Fort Worth
93eb757522e61f,Cat,Austin
4cb47d93a48e3a,Dog,Dallas
fa43fabc4c4052,Dog,Austin
949d9fda2e393e,Dog,Houston
8a49105ca0f023,Dog,Austin
f08e1b93057775,Dog,Houston
59f63504bd8efa,Dog,Fort Worth
23b66220cef0c8,Dog,Austin
0a790241a2647a,Cat,Fort Worth
27459830d4ba38,Dog,Houston
b7eb13211aeb51,Dog,Fort Worth
c65fb651565ea0,Dog,Houston
f75755e2fc5c3f,Cat,Austin
e71a57f9338676,Dog,Austin
e63c1de8276091,Dog,Austin
5f9d732f9c6fd9,Dog,Fort Worth
1383a856ebaf35,Cat,Houston
a398c14514487f,Cat,San Antonio
5e2704a175ac51,Cat,Fort Worth
e98922e9fe83ce,Dog,San Antonio
bc65f504cbf5c6,Cat,Fort Worth
dd9af3f9c4210e,Dog,Dallas
8241fb89e9dfa5,Dog,Fort Worth
ab2cb9fffb7635,Cat,Fort Worth
1462b9d10ebb12,Cat,Houston
70b4134532d6b1,Dog,Austin
c2273567e7266b,Cat,Austin
cc3ac01b8420d0,Dog,San Antonio
2f09f13032cbed,Cat,Dallas
34139778b83e2a,Cat,Austin
6f54f62f7d5fdf,Cat,Houston
356fd525d57253,Dog,San Antonio
49965f30ea1686,Dog,Houston
94cb7f08e6de69,Cat,San Antonio
0174aab41c6167,Dog,Houston
d42e382df43a7a,Dog,San Antonio
8e65ebacb9297a,Dog,Dallas
0d8e6720d83315,Dog,Houston
077729e05788bf,Cat,Houston
265557d80be522,Cat,Houston
4830a25299894b,Dog,Houston
2a7ce8bcb188b9,Cat,Austin
cbc69efa401370,Cat,Houston
4b63ff9e860a7b,Dog,Houston
d412637ee512ec,Dog,San Antonio
1790c8be15a426,Dog,Dallas
fb36c94d6e6b8c,Cat,San Antonio
53d0ac95516696,Dog,Austin
9f20f9760035a2,Cat,San Antonio
cd8e3f8f7f24db,Cat,Austin
a6b9e289e6f8d7,Cat,Austin
c802e040aed95e,Cat,Dallas
5b4974fcbe54e4,Cat,Fort Worth
22d17eb6797fd0,Dog,Dallas
26a069d0ea053f,Cat,Austin
db5f3b0956487b,Dog,Austin
e80e07a2311050,Dog,Houston
8b0ffcef062dcd,Cat,Houston
853458c62beaf9,Dog,Fort Worth
86581d02ea78de,Dog,Austin
35c728368aa1a2,Dog,Austin
7fbb28255f1d01,Cat,Austin
10767f4cb7d912,Dog,Austin
cdcfdae38f66ce,Cat,Fort Worth
3fc45e70531e2f,Cat,Houston
8ccbae3c68d779,Cat,Austin
9fd521d2f8a2e0,Dog,San Antonio
a06698e0d1474e,Cat,Austin
a6ecd3c41380bd,Dog,Austin
b6cea4bf3aab2d,Cat,Houston
fa695849f59f7e,Dog,Houston
5f11370846ea99,Cat,San Antonio
3c84886691f237,Cat,Austin
717c5851b3a749,Dog,San Antonio
8b0e54e33f0382,Cat,San Antonio
fd32e89b124c73,Dog,Austin
c90a4b0d1cd522,Cat,Houston
a26a019aef8240,Cat,Dallas
63c69751ff3df6,Dog,San Antonio
6230677f2e73f7,Dog,Dallas
d86486661b1c0a,Dog,Fort Worth
930a6cff8bce1a,Cat,Houston
21fa73b62096d3,Cat,San Antonio
7322292f45e931,Cat,San Antonio
536239b2db611e,Cat,Dallas
049b6cf76e3088,Dog,San Antonio
d607a648b5cb18,Dog,Houston
2ae96e6d1a52e7,Dog,Houston
adb1237dcf53aa,Cat,Austin
2c7b3e6f1cfd93,Cat,Houston
80066a4b41ac06,Cat,Fort Worth
4f1c861bc83c92,Cat,Fort Worth
55b13728007ecd,Dog,Houston
aaa32a2ee68767,Dog,Austin
f5d5a316f74481,Dog,San Antonio
690fbb4cbb51d0,Dog,Austin
178c6931fb7423,Dog,San Antonio
e28817f556e104,Dog,Austin
a648073d7136e1,Cat,San Antonio
1526d25d9792ac,Dog,Fort Worth
4386c92c44d689,Dog,Houston
a7c2acf88fe3b3,Cat,Dallas
611a91b6800dfd,Dog,Houston
f9ff041183a14f,Dog,Houston
c61371ceda216b,Dog,Austin
d6931d09072021,Cat,Houston
11d12cfb126333,Dog,Fort Worth
a0d861064db854,Dog,Houston
29a93299b794a2,Cat,San Antonio
f4c0b52aa5301e,Cat,Houston
5e0d26359446cc,Cat,Houston
27861823005326,Cat,Fort Worth
5b142511814f56,Cat,Houston
025547bdedaf24,Cat,Austin
205d0f7441c59a,Dog,San Antonio
5379d0a4477fa5,Dog,Houston
8805ecdc28d45d,Dog,Houston
c576fbfaeba414,Dog,San Antonio
42b4c8e166db31,Cat,San Antonio
ae895be01b9822,Dog,Houston
36a4cf927306ff,Cat,Austin
e979498b8903a0,Cat,Houston
ec5cbe2d0198a8,Dog,Dallas
30e95d3d90a409,Dog,Austin
777b53a7a377ce,Cat,Austin
733dee1e460256,Dog,Dallas
887163d70242c7,Dog,Austin
1530cbe8ce946d,Dog,Houston
324435c3be5384,Dog,Dallas
542c79d0772dc5,Cat,Austin
db734494e11678,Dog,Dallas
49dcef9e07557f,Cat,Austin
a5722d10cebf3d,Dog,Houston
8e0c73df925ddd,Cat,San Antonio
b63938acc96d93,Cat,Houston
9ba13b8a5dd5f3,Cat,Austin
92d7fd20a6ac3d,Dog,San Antonio
f58832ccb1a62d,Dog,Austin
2c9d829c46c61f,Cat,Dallas
fe04de01a17983,Dog,Houston
07f842bf7e9cfa,Dog,San Antonio
e77b5aabb13a72,Cat,Austin
4130b58e5a2246,Dog,Fort Worth
af3a06f3d0e4fb,Cat,Houston
01b99cd7aa1d06,Dog,Austin
3fbc81a32ea845,Dog,San Antonio
d91636610513c4,Cat,Fort Worth
471ca051a46f45,Dog,Austin
3b985844b9787d,Dog,Houston
3307b99f1b6451,Cat,Houston
960f8a91fc648b,Dog,Austin
cfccece4eaace4,Cat,Houston
12df70219103a8,Cat,Fort Worth
3f77f2b7913a92,Cat,Austin
c36619a59a0195,Dog,San Antonio
202d7400851cbb,Cat,Houston
a9bfa76868f3fb,Cat,Houston
71e68d763ea6a9,Cat,Houston
4204251f44b66c,Dog,Austin
473eab483940ae,Dog,San Antonio
25000303b237be,Dog,Austin
90b8e176a794da,Dog,Dallas
37e28a95151cb1,Cat,Houston
246577ff8f7018,Dog,San Antonio
5bd3f298492df6,Dog,Houston
02ca0fbd55761e,Dog,Austin
58bb5cc9ed5567,Cat,Fort Worth
cf1f17f81583eb,Dog,Austin
bd25360105250c,Dog,Fort Worth
a981b657c27c05,Cat,Fort Worth
c3d8af66f8a81e,Cat,Dallas
af5c48ea56ce38,Dog,Austin
10c715baa265ec,Cat,Austin
779899b873ac15,Dog,San Antonio
b230c59c710225,Dog,Austin
a9ce72679b893c,Dog,Houston
57d057207feb26,Dog,San Antonio
20d6cf1d23d938,Dog,Fort Worth
814d404bef56de,Cat,Dallas
b631e96e4ed600,Cat,Austin
4218b5c7a0a3d6,Cat,Houston
a3ea66b3d3e554,Cat,Fort Worth
146e471799336b,Dog,Austin
eb8dfa1ce83bc8,Cat,San Antonio
d918159a206944,Cat,Austin
7eae6742128089,Cat,Dallas
cbe782b60690be,Dog,San Antonio
c62929c1dc896c,Dog,Austin
0fd69d8ffb2a3f,Dog,San Antonio
13e6c122d57ae7,Cat,Fort Worth
0aaff138162c80,Dog,Houston
7d97ea59f99b2c,Dog,Austin
7d5072375a83c0,Dog,San Antonio
a6913a9d376ee1,Dog,San Antonio
87b0b2f42637b2,Dog,Austin
d7af4f57f71132,Dog,Dallas
746d8fba728ce6,Cat,Houston
4eaa5ed591eee4,Dog,Dallas
695470e82b9ecb,Dog,Fort Worth
c6929fd9e3ec77,Cat,Houston
3ea9b0a3150cd3,Cat,Austin
a6ec38e6f74cf6,Cat,Austin
376057325e889a,Dog,San Antonio
d59eb5653b044b,Cat,Austin
befa306f7acc40,Cat,Houston
44389acee9a001,Cat,Houston
2a1e34ddff2d58,Dog,Austin
aa7bd15b59de48,Dog,Austin
8cda59ff66e0c9,Cat,Austin
da766e43d36603,Dog,San Antonio
3f086447b5041a,Cat,Austin
08af6c6dce02f2,Dog,Austin
191a709dddef98,Dog,Dallas
eb1948d881a6e6,Dog,San Antonio
e0018fdc8dfb1b,Dog,San Antonio
3b6b3bb270f24e,Dog,Houston
8110945f7fdbe2,Dog,Houston
3cf50d36a72897,Dog,Dallas
6e406021b79b62,Cat,San Antonio
246854b1f2292e,Cat,Fort Worth
4b074da53e14a9,Cat,Fort Worth
782ee85f17fade,Dog,Dallas
9bdf1d5551f4a9,Dog,Fort Worth
98cbe1d9683909,Dog,Houston
2d741ee767fc60,Cat,Austin
a8c064b7b7a98f,Dog,Austin
622e3e90fd09fd,Dog,Houston
8698700102c313,Dog,Austin
72b22cc566dee8,Dog,San Antonio
b00c4c588b66c7,Cat,Dallas
71aa15b8792f7c,Dog,Fort Worth
c31d12f123b8c1,Cat,Houston
2061ff7a5abdf5,Dog,Austin
7f43b85d1b85f2,Cat,Dallas
e2fc97108e53f2,Dog,Austin
56d9d2f56a23a2,Dog,Fort Worth
2e151960eda45b,Cat,Dallas
443eec2001033e,Dog,Fort Worth
1d55a7522d7f06,Cat,Austin
b47b814f6446b2,Dog,Fort Worth
60c013d847503e,Dog,San Antonio
23b11081c149ec,Cat,San Antonio
0d9ff727c75b01,Cat,Fort Worth
c5a38a9c349b30,Dog,Fort Worth
808d3e83569118,Dog,Houston
68f8b3ba8ed7e6,Dog,Austin
5fbdbe52ddd60f,Dog,Austin
cd7c6ff96f9246,Dog,San Antonio
27323067e246e7,Dog,Dallas
f7cc1064c26831,Dog,Fort Worth
ec3a02e9d1a8f9,Dog,Houston
ae8ec6629cb495,Dog,Fort Worth
c8d74cc98035f1,Dog,Austin
be7a5812edda4d,Dog,Fort Worth
3ae2dff6fa80b6,Cat,Fort Worth
b1e9731ed85ab7,Cat,Houston
9129760581791,Dog,Houston
c97ac170580696,Cat,Fort Worth
daeb49bfcfc3f1,Dog,Houston
ae7ee88460c31b,Cat,Houston
f3e54f0b101182,Dog,Houston
232d12dfea28c8,Dog,Fort Worth
c7407d6d28f6db,Cat,Austin
15e1e301a6a50d,Cat,Houston
11b65c95212a1b,Cat,Houston
764cd088bb07fa,Cat,Houston
f49b916cc48f5b,Dog,Austin
cd89c90c2efa97,Cat,Fort Worth
26b96c6f6422a2,Dog,San Antonio
28d53001b11eac,Cat,Austin
a4de568a191e11,Cat,Austin
6431e81c28c130,Dog,Austin
2491ed88d9577a,Cat,Austin
97c691435e06ed,Cat,Austin
b20e3ebe547b6d,Dog,San Antonio
6fcdcebc8c417a,Cat,Austin
df0cba8b8f3106,Dog,Dallas
35f647f38986c7,Dog,Austin
2866939bd0b596,Dog,Austin
629b66c195a2fb,Cat,San Antonio
f6d169e33d184a,Cat,San Antonio
7fff1d779b7906,Dog,Houston
86cc1498e09a51,Cat,Fort Worth
78e3c7492aab43,Cat,Austin
3cf94f847f5b74,Dog,San Antonio
8b0dbcd2a7000b,Dog,Houston
9d22a9dd3d8a24,Dog,Fort Worth
40b7e6d7d07a05,Dog,Dallas
56ed3696a65303,Cat,San Antonio
e5ad28b86cad36,Dog,Austin
6ad50f3259802e,Dog,Houston
b0516842cc2c7f,Dog,Austin
a1b10674a64e53,Cat,Fort Worth
1f8fc48c8f6ca4,Cat,Austin
f792ad6a83afb2,Dog,San Antonio
c545eb758c7ab6,Cat,Austin
8423d7f91c34fb,Dog,Houston
0e8643f92f6f78,Cat,Houston
11e8ba5a8936d6,Dog,Houston
